Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,2003,1955,2211,2225,WN,335,N712SW,128,150,116,-14,8,IAD,TPA,810,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,754,735,1002,1000,WN,3231,N772SW,128,145,113,2,19,IAD,TPA,810,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,628,620,804,750,WN,448,N428WN,96,90,76,14,8,IND,BWI,515,3,17,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,926,930,1054,1100,WN,1746,N612SW,88,90,78,-6,-4,IND,BWI,515,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1829,1755,1959,1925,WN,3920,N464WN,90,90,77,34,34,IND,BWI,515,3,10,0,,0,2,0,0,0,32
2008,1,3,4,1940,1915,2121,2110,WN,378,N726SW,101,115,87,11,25,IND,JAX,688,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1937,1830,2037,1940,WN,509,N763SW,240,250,230,57,67,IND,LAS,1591,3,7,0,,0,10,0,0,0,47
2008,1,3,4,1039,1040,1132,1150,WN,535,N428WN,233,250,219,-18,-1,IND,LAS,1591,7,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,617,615,652,650,WN,11,N689SW,95,95,70,2,2,IND,MCI,451,6,19,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1620,1620,1639,1655,WN,810,N648SW,79,95,70,-16,0,IND,MCI,451,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,706,700,916,915,WN,100,N690SW,130,135,106,1,6,IND,MCO,828,5,19,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1734,1715,2015,2025,WN,2789,N275WN,101,130,85,-10,19,MDW,PHL,668,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,NA,600,NA,855,WN,3153,,NA,115,NA,NA,NA,MDW,PHL,668,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,9,3,932,935,1214,1230,WN,3757,N251WN,102,115,84,-16,-3,MDW,PHL,668,7,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2128,2135,6,25,WN,3927,N212WN,98,110,87,-19,-7,MDW,PHL,668,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,818,815,1112,1105,WN,259,N488WN,234,230,216,7,3,MDW,PHX,1444,6,12,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,643,645,931,940,WN,616,N713SW,228,235,211,-9,-2,MDW,PHX,1444,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1507,1510,1752,1805,WN,921,N269WN,225,235,212,-13,-3,MDW,PHX,1444,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2015,2010,2247,2300,WN,1023,N248WN,212,230,201,-13,5,MDW,PHX,1444,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1725,1725,2010,2020,WN,1827,N204WN,225,235,209,-10,0,MDW,PHX,1444,9,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1245,1245,1532,1540,WN,1842,N423WN,227,235,212,-8,0,MDW,PHX,1444,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2140,2130,7,15,WN,3336,N493WN,207,225,194,-8,10,MDW,PHX,1444,8,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1006,1010,1255,1300,WN,3501,N412WN,229,230,212,-5,-4,MDW,PHX,1444,8,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2117,2050,2322,2305,WN,337,N600WN,65,75,52,17,27,MDW,PIT,402,6,7,0,,0,16,0,0,0,1
2008,1,9,3,728,730,937,950,WN,1414,N744SW,69,80,56,-13,-2,MDW,PIT,402,7,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1548,1515,1802,1730,WN,2445,N321SW,74,75,59,32,33,MDW,PIT,402,6,9,0,,0,0,0,0,0,32
2008,1,9,3,1110,1115,1314,1330,WN,3170,N269WN,64,75,56,-16,-5,MDW,PIT,402,3,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1752,1755,1956,2010,WN,3249,N493WN,64,75,53,-14,-3,MDW,PIT,402,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,621,620,835,840,WN,3414,N412WN,74,80,54,-5,1,MDW,PIT,402,7,13,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,650,650,1002,955,WN,1064,N343SW,132,125,114,7,0,MDW,PVD,842,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2146,2030,33,2335,WN,2174,N251WN,107,125,94,58,76,MDW,PVD,842,6,7,0,,0,0,0,0,0,58
2008,1,9,3,1230,1235,1527,1540,WN,2974,N454WN,117,125,102,-13,-5,MDW,PVD,842,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1807,1815,2059,2120,WN,3831,N795SW,112,125,99,-21,-8,MDW,PVD,842,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1512,1515,1750,1805,WN,255,N216WR,98,110,84,-15,-3,MDW,RDU,632,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1210,1210,1443,1455,WN,1429,N672SW,93,105,82,-12,0,MDW,RDU,632,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2018,2020,2252,2300,WN,3063,N271WN,94,100,87,-8,-2,MDW,RDU,632,2,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,702,705,940,950,WN,3675,N253WN,98,105,84,-10,-3,MDW,RDU,632,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1434,1435,1636,1650,WN,1276,N468WN,242,255,226,-14,-1,MDW,RNO,1680,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1205,1210,1538,1600,WN,1218,N247WN,153,170,140,-22,-5,MDW,RSW,1105,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2005,1955,2332,2340,WN,1558,N492WN,147,165,136,-8,10,MDW,RSW,1105,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,924,915,1258,1305,WN,3413,N437WN,154,170,141,-7,9,MDW,RSW,1105,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1236,1240,1449,1505,WN,299,N224WN,253,265,242,-16,-4,MDW,SAN,1728,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,629,630,853,855,WN,339,N453WN,264,265,249,-2,-1,MDW,SAN,1728,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,818,820,1036,1045,WN,635,N215WN,258,265,247,-9,-2,MDW,SAN,1728,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1429,1430,1645,1655,WN,1188,N200WN,256,265,248,-10,-1,MDW,SAN,1728,2,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1834,1835,2038,2100,WN,2729,N476WN,244,265,233,-22,-1,MDW,SAN,1728,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,750,750,1025,1045,WN,511,N794SW,155,175,145,-20,0,MDW,SAT,1036,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1845,1845,2133,2140,WN,1394,N480WN,168,175,155,-7,0,MDW,SAT,1036,2,11,0,,0,NA,NA,NA,NA,NA
